Mg,Al,Ti,V,Mn,Fe,Cu,Zn,Y,Nb,La,Ce,Zr,Ta
0.000,0.000,0.000,0.000,0.000,643.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
365.636,3638.167,318.359,0.000,149.355,9147.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,976.454,0.000,0.000,0.000,3881.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,121.725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,501.579,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,220.719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,641.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,366.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,465.662,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,4433.355,213.675,0.000,237.045,9455.634,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,519.896,91.315,0.000,0.000,1442.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
977.767,6463.422,715.652,0.000,426.496,20305.397,0.000,0.000,0.000,35.655,0.000,0.000,0.000,0.000
0.000,650.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,979.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,139.904,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,485.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1116.202,0.000,0.000,202.685,11411.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,433.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1613.916,138.175,0.000,0.000,3261.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,576.919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6151.095,41567.550,4925.207,0.000,3373.442,73417.258,0.000,0.000,0.000,185.571,0.000,0.000,0.000,0.000
0.000,435.097,0.000,0.000,0.000,612.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,481.567,0.000,0.000,0.000,1097.806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1444.996,198.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1377.299,8877.974,132.145,0.000,360.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
529.222,0.000,1040.000,0.000,563.659,28968.219,0.000,0.000,0.000,34.123,0.000,0.000,0.000,0.000
0.000,1926.089,88.038,0.000,97.320,7211.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1014.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,175.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1626.827,174.417,0.000,0.000,7037.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
