Mg,Al,Ti,V,Mn,Fe,Cu,Zn,Y,Nb,La,Ce,Zr,Ta
0.000,9169.278,0.000,0.000,0.000,4459.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,389.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,625.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,935.851,963.515,0.000,0.000,2384.609,0.000,0.000,0.000,0.000,60.234,0.000,0.000,0.000
0.000,0.000,265.958,0.000,0.000,554.862,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,3122.104,0.000,136.015,4292.259,0.000,0.000,0.000,21.105,0.000,0.000,0.000,0.000
0.000,265.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,2723.006,0.000,65.901,3768.877,0.000,0.000,0.000,19.175,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1117.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19185.122,213.239,1649.977,0.000,71.089,14529.115,0.000,0.000,0.000,50.603,0.000,0.000,0.000,0.000
0.000,16899.122,8034.341,0.000,129.721,20459.756,0.000,0.000,0.000,37.672,0.000,0.000,0.000,0.000
0.000,1608.011,83222.569,870.034,639.823,33662.485,0.000,0.000,0.000,5694.029,0.000,0.000,0.000,2750.621
0.000,0.000,0.000,0.000,0.000,587.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,18059.407,0.000,373.176,22191.208,0.000,0.000,0.000,95.175,0.000,0.000,0.000,0.000
0.000,28301.970,765.434,0.000,0.000,56288.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,71.695,0.000,0.000,139.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,286.952,39844.592,0.000,715.605,34725.274,0.000,0.000,0.000,1135.855,0.000,0.000,0.000,205.855
0.000,0.000,201.019,0.000,0.000,278.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,244.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,359.687,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,25963.932,3484.392,0.000,0.000,22846.919,0.000,0.000,0.000,58.565,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1305.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,85.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,132.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,9709.282,631.542,0.000,97.983,32229.447,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,4282.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,3518.919,0.000,0.000,777.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1248.888,0.000,0.000,2129.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1657.170,408.096,238600.228,0.000,7461.055,131413.896,0.000,0.000,0.000,1940.999,0.000,0.000,0.000,73.018
0.000,0.000,0.000,222.898,0.000,0.000,606.793,1399.048,0.000,0.000,0.000,0.000,0.000,0.000
0.000,230.760,4627.386,0.000,95.732,5537.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,868.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,970.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1956.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,264.738,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,110.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,606.207,10913.754,0.000,245.001,14019.219,0.000,0.000,0.000,68.103,0.000,0.000,0.000,0.000
0.000,0.000,277.640,0.000,0.000,250.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,618.326,0.000,0.000,1356.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,286.222,0.000,0.000,323.857,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
523.961,735.236,81167.300,119.248,2224.969,66431.652,0.000,378.133,0.000,767.670,0.000,0.000,0.000,165.137
0.000,0.000,898.837,0.000,0.000,1470.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,558.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1106.903,0.000,0.000,1708.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5098.136,0.000,91302.971,851.206,20912.164,242021.976,142.372,319.642,0.000,426.734,0.000,0.000,0.000,0.000
0.000,0.000,87.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,126.898,6607.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.135
0.000,0.000,5369.618,0.000,0.000,0.000,0.000,0.000,0.000,21.523,0.000,0.000,0.000,0.000
0.000,0.000,940.541,0.000,0.000,1893.671,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,857.883,2497.123,0.000,0.000,10563.659,0.000,0.000,0.000,55.622,0.000,0.000,0.000,0.000
0.000,0.000,490.079,0.000,0.000,675.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2873.647,740.993,263363.086,272.771,10428.857,157420.310,0.000,1473.805,0.000,2264.900,0.000,0.000,0.000,101.944
0.000,0.000,0.000,0.000,0.000,0.000,572.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,208.358,0.000,0.000,0.000,2461.908,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,439.825,0.000,0.000,669.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,672.856,0.000,0.000,1060.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,322.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,83.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,660.552,0.000,0.000,714.607,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,535.700,0.000,0.000,733.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,969.389,0.000,0.000,1130.569,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,847.495,91.666,0.000,0.000,213.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,142.638,0.000,0.000,408.332,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,247.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,6027.102,0.000,0.000,5817.827,0.000,0.000,0.000,26.638,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,226.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,417.858,0.000,0.000,0.000,296.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,95.908,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,400.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2930.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,480.057,1115.975,0.000,0.000,2212.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,138.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1794.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1243.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,254.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1096.283,8862.037,42657.222,0.000,968.520,50534.211,0.000,0.000,0.000,298.431,0.000,0.000,0.000,143.871
0.000,0.000,153.864,0.000,0.000,204.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,917.372,0.000,0.000,1508.503,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,49342.173,0.000,1753.069,53162.563,0.000,0.000,0.000,407.079,0.000,0.000,0.000,0.000
0.000,6565.314,0.000,0.000,0.000,187.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2630.586,4987.041,201319.912,207.536,8975.455,0.000,0.000,0.000,0.000,1441.809,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,142666.975,382.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,586.422,0.000,0.000,0.000,0.000,0.000,0.000
995.423,727.852,112779.265,142.813,4405.798,97093.800,173.760,993.986,0.000,1183.462,0.000,0.000,0.000,77.453
0.000,0.000,950.918,0.000,0.000,1040.758,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,302.277,0.000,0.000,747.627,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1487.400,0.000,0.000,177.666,0.000,0.000,0.000,233.708,0.000,0.000,0.000,141.956
0.000,948.866,0.000,0.000,0.000,378.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,198.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,3426.209,0.000,0.000,3859.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,276.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1751.987,0.000,0.000,2457.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,138.524,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,384.944,0.000,0.000,0.000,424.721,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,100.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,51606.236,0.000,1680.208,47087.696,0.000,0.000,0.000,98.711,0.000,0.000,0.000,0.000
0.000,0.000,2940.895,0.000,0.000,4007.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,643.714,0.000,0.000,950.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,958.489,0.000,0.000,1566.574,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,206.481,13578.413,0.000,301.535,14466.790,0.000,0.000,0.000,108.155,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,108.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,579.785,2963.868,0.000,0.000,4792.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,471.046,55776.525,0.000,1345.565,50551.173,0.000,0.000,0.000,301.197,0.000,0.000,0.000,81.484
0.000,0.000,0.000,0.000,0.000,0.000,128.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,445.503,0.000,0.000,609.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,129.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,95.386,0.000,0.000,1181.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1337.617,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,4827.420,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
