Mg,Al,Ti,V,Mn,Fe,Cu,Zn,Y,Nb,La,Ce,Zr,Ta
0.000,0.000,86.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,804.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,4547.733,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,4166.664,242.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,294.157,250.786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,13846.164,14241.576,0.000,0.000,554.961,142.982,0.000,0.000,0.000,1457.681,10.465,0.000,0.000
0.000,0.000,491.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2903.214,6569.416,0.000,0.000,119.647,0.000,0.000,0.000,0.000,421.052,0.000,0.000,0.000
0.000,0.000,9673.525,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,899.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.679,0.000,0.000,0.000
0.000,0.000,447.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,626.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,4419.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1270.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,321075.320,698.563,0.000,408.498,1055.984,2217.931,0.000,149.270,0.000,0.000,0.000,0.000
0.000,0.000,930.446,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,152.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73.335,0.000,0.000,0.000
0.000,0.000,224.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.759,0.000,0.000,0.000
0.000,1890.115,153477.280,320.651,0.000,1146.864,601.450,361.410,0.000,104.926,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.707,0.000,0.000,0.000
0.000,0.000,1102.677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,14269.670,3322.268,0.000,0.000,242.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1306.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1096.545,89331.025,0.000,0.000,363.813,0.000,0.000,0.000,46.218,51.354,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,175.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,3565.672,0.000,262.810,0.000,445.176,0.000,0.000,0.000,94.196,562.638,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,450.199,504.849,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,6898.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,475.362,8181.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.184,9.790,0.000,0.000
527.944,88264.669,51376.976,0.000,0.000,2327.534,0.000,0.000,0.000,24.902,101.950,15.644,0.000,0.000
0.000,0.000,3807.953,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,4460.862,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,69.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,485.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,9622.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2341.211,282745.995,673.678,0.000,491.894,0.000,0.000,0.000,308.207,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,590.674,1753.845,0.000,0.000,0.000,0.000,0.000,0.000
0.000,281.761,8593.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1018.823,2260.320,80967.828,124.129,1217.762,64490.730,0.000,362.339,0.000,0.000,0.000,0.000,0.000,0.000
0.000,4310.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,747.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,194.681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,299.907,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1215.389,85.103,0.000,81.004,3031.863,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,7704.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,282.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,2097.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1223.567,4518.910,0.000,0.000,125.937,0.000,0.000,0.000,0.000,44.179,0.000,0.000,0.000
0.000,0.000,1370.521,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,7353.085,98374.320,126.689,0.000,584.870,0.000,0.000,0.000,138.760,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,128.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,363.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1080.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.522,0.000,0.000,0.000
0.000,0.000,1208.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,3410.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.312,0.000,0.000,0.000
0.000,439.837,4935.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,4006.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,401.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,138.052,0.000,0.000,0.000
0.000,2935.033,128157.510,183.427,0.000,459.225,456.950,748.354,0.000,77.501,0.000,0.000,0.000,0.000
0.000,522.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,216.561,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,2006.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,243.258,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,2473.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,8719.622,0.000,0.000,0.000,442.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,53447.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.690,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,119.613,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,786.508,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,528.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.129,0.000,0.000,0.000
0.000,823.204,114183.021,0.000,0.000,0.000,258.180,0.000,0.000,48.972,0.000,0.000,0.000,0.000
0.000,0.000,56177.518,121.901,0.000,325.460,0.000,0.000,0.000,22.439,0.000,0.000,0.000,0.000
0.000,6043.873,0.000,0.000,0.000,0.000,216.855,0.000,0.000,0.000,676.822,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,181.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,776.675,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2723.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,13688.616,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,3245.419,0.000,0.000,0.000,341.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,14235.039,0.000,976.519,0.000,1268.631,0.000,0.000,0.000,255.452,1439.257,0.000,0.000,266.466
0.000,0.000,0.000,0.000,0.000,0.000,1394.360,3996.071,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,593.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,800.330,1740.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,595.228,25479.813,107.823,0.000,119.476,0.000,0.000,0.000,19.481,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1470.580,0.000,0.000,0.000,0.000,81.220,0.000,0.000,0.000
0.000,15229.750,6429.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,331.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,330.960,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,331.471,12582.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1877.681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,430.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,337.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1232.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,63.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,73.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,429.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,352.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,49.038,0.000,0.000,0.000
0.000,8949.044,1936.097,0.000,0.000,959.314,0.000,0.000,0.000,0.000,65.714,0.000,0.000,0.000
0.000,2040.765,236842.395,262.620,0.000,301.122,0.000,0.000,0.000,189.760,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,923.078,1226.381,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1557.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,539.512,69.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.656,0.000,0.000,0.000
0.000,0.000,83.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,356.431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,158.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,182.317,0.000,0.000,0.000
